source	text	source_code	weight	missing_chars
cn_dicts/8105.dict.yaml	𬟁	yi	0	𬟁
cn_dicts/8105.dict.yaml	𬬩	yi	0	𬬩
cn_dicts/8105.dict.yaml	𬺈	yi	0	𬺈
cn_dicts/8105.dict.yaml	䲟	yin	0	䲟
cn_dicts/8105.dict.yaml	𬘡	yin	0	𬘡
cn_dicts/8105.dict.yaml	𬤇	yin	0	𬤇
cn_dicts/8105.dict.yaml	𬮱	yin	0	𬮱
cn_dicts/8105.dict.yaml	䓨	ying	0	䓨
cn_dicts/8105.dict.yaml	㶲	yong	0	㶲
cn_dicts/8105.dict.yaml	𬨎	you	0	𬨎
cn_dicts/8105.dict.yaml	㺄	yu	0	㺄
cn_dicts/8105.dict.yaml	𫘪	yuan	0	𫘪
cn_dicts/8105.dict.yaml	𫐄	yue	0	𫐄
cn_dicts/8105.dict.yaml	𬸚	yue	0	𬸚
cn_dicts/8105.dict.yaml	𫖳	yun	0	𫖳
cn_dicts/8105.dict.yaml	𥖨	zao	0	𥖨
cn_dicts/8105.dict.yaml	䎖	zeng	0	䎖
cn_dicts/8105.dict.yaml	䃎	zha	0	䃎
cn_dicts/8105.dict.yaml	𫗴	zhan	0	𫗴
cn_dicts/8105.dict.yaml	𬬿	zhao	0	𬬿
cn_dicts/8105.dict.yaml	𬶐	zhao	0	𬶐
cn_dicts/8105.dict.yaml	䗪	zhe	0	䗪
cn_dicts/8105.dict.yaml	𦭜	zhi	0	𦭜
cn_dicts/8105.dict.yaml	𬃊	zhi	0	𬃊
cn_dicts/8105.dict.yaml	㑇	zhou	0	㑇
cn_dicts/8105.dict.yaml	㤘	zhou	0	㤘
cn_dicts/8105.dict.yaml	𬣞	zhu	0	𬣞
cn_dicts/8105.dict.yaml	䏝	zhuan	0	䏝
cn_dicts/8105.dict.yaml	𬘯	zhun	0	𬘯
cn_dicts/8105.dict.yaml	䓬	zhuo	0	䓬
cn_dicts/8105.dict.yaml	䦃	zhuo	0	䦃
cn_dicts/8105.dict.yaml	𬸦	zhuo	0	𬸦
cn_dicts/8105.dict.yaml	𨱔	zun	0	𨱔
cn_dicts/41448.dict.yaml	𠼞	a	0	𠼞
cn_dicts/41448.dict.yaml	𥥩	a	0	𥥩
cn_dicts/41448.dict.yaml	𨉚	a	0	𨉚
cn_dicts/41448.dict.yaml	㑸	ai	0	㑸
cn_dicts/41448.dict.yaml	㕌	ai	0	㕌
cn_dicts/41448.dict.yaml	㗒	ai	0	㗒
cn_dicts/41448.dict.yaml	㗨	ai	0	㗨
cn_dicts/41448.dict.yaml	㘷	ai	0	㘷
cn_dicts/41448.dict.yaml	㝶	ai	0	㝶
cn_dicts/41448.dict.yaml	㢊	ai	0	㢊
cn_dicts/41448.dict.yaml	㤅	ai	0	㤅
cn_dicts/41448.dict.yaml	㱯	ai	0	㱯
cn_dicts/41448.dict.yaml	㿄	ai	0	㿄
cn_dicts/41448.dict.yaml	䀳	ai	0	䀳
cn_dicts/41448.dict.yaml	䅬	ai	0	䅬
cn_dicts/41448.dict.yaml	䑂	ai	0	䑂
cn_dicts/41448.dict.yaml	䔽	ai	0	䔽
cn_dicts/41448.dict.yaml	䝽	ai	0	䝽
cn_dicts/41448.dict.yaml	䨠	ai	0	䨠
cn_dicts/41448.dict.yaml	䬵	ai	0	䬵
cn_dicts/41448.dict.yaml	䶣	ai	0	䶣
cn_dicts/41448.dict.yaml	𠊎	ai	0	𠊎
cn_dicts/41448.dict.yaml	𠳳	ai	0	𠳳
cn_dicts/41448.dict.yaml	𡁍	ai	0	𡁍
cn_dicts/41448.dict.yaml	𡉓	ai	0	𡉓
cn_dicts/41448.dict.yaml	𡟓	ai	0	𡟓
cn_dicts/41448.dict.yaml	𡰽	ai	0	𡰽
cn_dicts/41448.dict.yaml	𡶃	ai	0	𡶃
cn_dicts/41448.dict.yaml	𢟪	ai	0	𢟪
cn_dicts/41448.dict.yaml	𢟰	ai	0	𢟰
cn_dicts/41448.dict.yaml	𢣏	ai	0	𢣏
cn_dicts/41448.dict.yaml	𢣕	ai	0	𢣕
cn_dicts/41448.dict.yaml	𢰇	ai	0	𢰇
cn_dicts/41448.dict.yaml	𣋞	ai	0	𣋞
cn_dicts/41448.dict.yaml	𣜬	ai	0	𣜬
cn_dicts/41448.dict.yaml	𣝅	ai	0	𣝅
cn_dicts/41448.dict.yaml	𣤃	ai	0	𣤃
cn_dicts/41448.dict.yaml	𣩄	ai	0	𣩄
cn_dicts/41448.dict.yaml	𣩱	ai	0	𣩱
cn_dicts/41448.dict.yaml	𤢵	ai	0	𤢵
cn_dicts/41448.dict.yaml	𤸖	ai	0	𤸖
cn_dicts/41448.dict.yaml	𤸳	ai	0	𤸳
cn_dicts/41448.dict.yaml	𤻢	ai	0	𤻢
cn_dicts/41448.dict.yaml	𥡽	ai	0	𥡽
cn_dicts/41448.dict.yaml	𥤦	ai	0	𥤦
cn_dicts/41448.dict.yaml	𥴨	ai	0	𥴨
cn_dicts/41448.dict.yaml	𦗍	ai	0	𦗍
cn_dicts/41448.dict.yaml	𦗐	ai	0	𦗐
cn_dicts/41448.dict.yaml	𦤦	ai	0	𦤦
cn_dicts/41448.dict.yaml	𦥂	ai	0	𦥂
cn_dicts/41448.dict.yaml	𦥈	ai	0	𦥈
cn_dicts/41448.dict.yaml	𦩴	ai	0	𦩴
cn_dicts/41448.dict.yaml	𧏹	ai	0	𧏹
cn_dicts/41448.dict.yaml	𧓁	ai	0	𧓁
cn_dicts/41448.dict.yaml	𧡋	ai	0	𧡋
cn_dicts/41448.dict.yaml	𧪚	ai	0	𧪚
cn_dicts/41448.dict.yaml	𧰿	ai	0	𧰿
cn_dicts/41448.dict.yaml	𧵨	ai	0	𧵨
cn_dicts/41448.dict.yaml	𨶂	ai	0	𨶂
cn_dicts/41448.dict.yaml	𩂒	ai	0	𩂒
cn_dicts/41448.dict.yaml	𩂢	ai	0	𩂢
cn_dicts/41448.dict.yaml	𩈋	ai	0	𩈋
cn_dicts/41448.dict.yaml	𩪂	ai	0	𩪂
cn_dicts/41448.dict.yaml	𩫇	ai	0	𩫇
cn_dicts/41448.dict.yaml	𩮖	ai	0	𩮖
cn_dicts/41448.dict.yaml	𪇈	ai	0	𪇈
cn_dicts/41448.dict.yaml	𪕭	ai	0	𪕭
cn_dicts/41448.dict.yaml	㜝	an	0	㜝
cn_dicts/41448.dict.yaml	㟁	an	0	㟁
cn_dicts/41448.dict.yaml	㱘	an	0	㱘
cn_dicts/41448.dict.yaml	㸩	an	0	㸩
cn_dicts/41448.dict.yaml	㽢	an	0	㽢
cn_dicts/41448.dict.yaml	䁆	an	0	䁆
cn_dicts/41448.dict.yaml	䅁	an	0	䅁
cn_dicts/41448.dict.yaml	䅖	an	0	䅖
cn_dicts/41448.dict.yaml	䎏	an	0	䎏
cn_dicts/41448.dict.yaml	䎨	an	0	䎨
cn_dicts/41448.dict.yaml	䜙	an	0	䜙
cn_dicts/41448.dict.yaml	䨄	an	0	䨄
cn_dicts/41448.dict.yaml	䬓	an	0	䬓
cn_dicts/41448.dict.yaml	䮗	an	0	䮗
cn_dicts/41448.dict.yaml	䯥	an	0	䯥
cn_dicts/41448.dict.yaml	𠉬	an	0	𠉬
cn_dicts/41448.dict.yaml	𠪚	an	0	𠪚
cn_dicts/41448.dict.yaml	𠰑	an	0	𠰑
cn_dicts/41448.dict.yaml	𠽪	an	0	𠽪
cn_dicts/41448.dict.yaml	𠿑	an	0	𠿑
cn_dicts/41448.dict.yaml	𡎑	an	0	𡎑
cn_dicts/41448.dict.yaml	𡪁	an	0	𡪁
cn_dicts/41448.dict.yaml	𡪙	an	0	𡪙
cn_dicts/41448.dict.yaml	𡯏	an	0	𡯏
cn_dicts/41448.dict.yaml	𡹼	an	0	𡹼
cn_dicts/41448.dict.yaml	𡽜	an	0	𡽜
cn_dicts/41448.dict.yaml	𢰍	an	0	𢰍
cn_dicts/41448.dict.yaml	𣆛	an	0	𣆛
cn_dicts/41448.dict.yaml	𣚖	an	0	𣚖
cn_dicts/41448.dict.yaml	𣣚	an	0	𣣚
cn_dicts/41448.dict.yaml	𣵱	an	0	𣵱
cn_dicts/41448.dict.yaml	𣽥	an	0	𣽥
cn_dicts/41448.dict.yaml	𤃷	an	0	𤃷
cn_dicts/41448.dict.yaml	𤜁	an	0	𤜁
cn_dicts/41448.dict.yaml	𤞿	an	0	𤞿
cn_dicts/41448.dict.yaml	𤟉	an	0	𤟉
cn_dicts/41448.dict.yaml	𥏮	an	0	𥏮
cn_dicts/41448.dict.yaml	𥦍	an	0	𥦍
cn_dicts/41448.dict.yaml	𥳬	an	0	𥳬
